ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,RecordOwner,MailingAttentionName,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,OtherAddress1,OtherAddress2,OtherCity,OtherCounty,OtherStateProvince,OtherPostalCode,OtherCountry,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5Description,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberOutOfArea,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyClassification,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,TemporaryMessage,TemporaryMessageAppears,TemporaryMessageExpires,EnteredOn,UpdatedOn,MadeInactiveOn,InternalNotes,InternalNotesForEditorsAndViewers
373706,AARP - Grief and Loss Programs,"WPS (Widowed Persons Service), AARP (American Association for Retired Persons)",,Program,AARP DC,371796,DCAP,Aarp - Dc State Office,601 E Street NW,,Washington,DC,20049,United States,"601 E Street, NW",,Washington,District Of Columbia,DC,20049,United States,,,,,DC,,United States,38.89609,-77.02021,Monday - Friday 9am-4pm,,,(202) 434-7700,AARP DC State Office,,,(888) 687-2277,AARP Headquarters,,,(703) 739-0064,,,,,,,member@aarp.org,http://www.aarp.org/griefandloss,Active,,"Offers a wide variety of resources and information on bereavement issues for adults of all ages and their families.  Services include: one-to-one peer outreach, a grief course, bereavement support groups, informational booklets and brochures, and online s",373706,DC Metro Area,,,Mima Castaldi,State Director,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,None                                                                                                                          ,Telephone,,,English,,,,,,,11/09/2000 00:00,4/18/12 9:28,,,
373707,AARP - Tax Aide,"AARP, American Association for Retired Persons, Taxes",,Program,AARP DC,371796,DCAP,Aarp - Dc State Office,601 E Street Nw,,Washington,DC,20049,United States,"601 E Street, NW",, Unknown ,,DC,20049,United States,,,,,DC,,United States,38.89609,-77.02021," Monday - Friday, 9:00 am - 4:00 pm",(888) 227-7669,Intake Number (Site Locator),(202) 434-7700,AARP DC State Office,,,(888) 687-2277,AARP Headquarters,,,(703) 739-0064,,,,,,,dcaarp@aarp.org,http://www.aarp.org/taxaide,Active,,Offers free tax preparation service and answers tax questions.  The AARP Tax-Aide website locator and phone number locator provides listings of AARP Tax-Aide sites available nationwide.<br /><br />Home visits: Downtown               ,373707,DC Metro Area,,"Low to moderate income, priority given to seniors ages 60 and older",Mima Castaldi,Director,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,Telephone for appointment,,,English,,,,Seasonal program available February 1 through April 15 ONLY.,9/28/10 0:00,01/01/1950 00:00,11/09/2000 00:00,4/18/12 9:34,,,
371796,AARP DC,AARP DC State Office,,Agency,AARP DC,0,DCAP,American Association For Retired Persons   Dc,601 E  St  Nw,Suite A1 200,Washington,DC,20049,United States,"601 E Street, NW",,Washington,District Of Columbia,DC,20049,United States,,,,,DC,,United States,38.89609,-77.02021,"9:00 am - 5:00 pm, Monday - Friday                                                                                                          ",(202) 434-7700,Main Number                             ,,,(888) 687-2277,AARP Headquarters                       ,,                                        ,,,(202) 434-7710,,,,,,,dcaarp@aarp.org,aarp.org/dc,Active,," <br />		<p>We are a nonprofit, nonpartisan membership organization that helps people 50 and over improve the quality of their lives.</p> <br />",371796,,,Please inquire,Louis Davis. Jr.                 ,State Director                     ,,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,,please inquire,,,English and Spanish,,,,,,,06/01/1999 00:00,4/18/12 9:23,,"Provides information and resources to people 50 and older; advocates on legislative, consumer, and legal issues; assists members to serve their communities; and offers a wide range of unique benefits, special products, and services to its members.    ",
372197,AAUW Legal Advocacy Fund,AAUW-LAF,,Agency,AAUW Legal Advocacy Fund,0,DCAP,Aauw Legal Advocacy FundSANDRA K. LYNNE                              ,1111 16Th St NW,,Washington,DC,20036,United States,"1111 16Th Street, NW",,Washington,District Of Columbia,DC,20036,United States,,,,,DC,,United States,38.906704,-77.041912,"9:00 am - 5:00 pm, Monday - Friday                                                                                                          ",(202) 785-7700,Main Number                             ,,,,,,                       ,(202) 785-7777,TTY/TDD Number                          ,(202) 872-1425,,,,,,,laf@aauw.org,http://www.aauw.org,Active,,,372197,,,,Linda D. Hallman                    ,Executive Director                           ,executive@aauw.org,,,,,,,,None or unknown,,,,None or unknown,,No,No,,,,,,,,,,,,,,,,03/03/2000 00:00,4/18/12 9:44,,Provides funding and a support system for women seeking judicial redress for sex discrimination.     ,
373599,AAUW Legal Advocacy Fund - DC Campus Outreach Program,AAUW-LAF,,Program,AAUW Legal Advocacy Fund,372197,DCAP,Aauw Legal Advocacy Fund Amy Houghton,1111 16Th St Nw,,Washington,DC,20036,United States,"1111 16Th Street, NW",,Washington,District Of Columbia,DC,20036,United States,,,,,DC,,United States,38.906704,-77.041912,"9:00 am - 5:00 pm, Monday - Friday",(202) 785-7719,Intake Number,,,(202) 785-7700,Administrative Number,(800) 326-2289,Toll Free Number,(202) 785-7777,TTY/TDD Number,(202) 785-8754,,,,,,,laf@aauw.org,http://www.aauw.org,Active,,"Aims to increase awareness of sex discrimination on campus and to provide additional funding to women fighting sex discrimination cases in higher education.  Educates both students and faculty about the issue of sex discrimination in higher education, wha",373599,District of Columbia,,,Linda D. Hallman,Executive Director,executive@aauw.org,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,"Telephone, Walk-In, E-mail",,,English,,,,,,,03/06/2000 00:00,4/18/12 9:45,,,
373596,AAUW Legal Advocacy Fund - DC Case Support,AAUW-LAF,,Program,AAUW Legal Advocacy Fund,372197,DCAP,Aauw Legal Advocacy Fund Amy Houghton,1111 16Th St Nw,,Washington,DC,20036,United States,"1111 16Th Street, NW",,Washington,District Of Columbia,DC,20036,United States,,,,,DC,,United States,38.906704,-77.041912,"9:00 am - 5:00 pm, Monday - Friday",(202) 785-7719,Intake Number,,,(202) 785-7750,Administrative Number,(800) 326-2289,Toll Free Number,(202) 785-7777,TTY/TDD Number,(202) 785-8754,,,,,,,laf@aauw.org,http://www.aauw.org,Active,,"Provides funding and a support system for female students, faculty, and administration challenging discriminatory practices involving sexual harassment, denial of tenure or promotion, pay inequity, and denial of aid for women's athletics programs.  Requir",373596,District of Columbia,,None,,,,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,"Telephone, Walk-In, E-mail",,,English,,,,,,,03/03/2000 00:00,4/18/12 9:46,,,
373597,AAUW Legal Advocacy Fund - DC Network,AAUW-LAF,,Program,AAUW Legal Advocacy Fund,372197,DCAP,Aauw Legal Advocacy Fund Sandra K. Lynne,1111 16Th St Nw,,Washington,DC,20036,United States,"1111 16Th Street, NW",,Washington,District Of Columbia,DC,20036,United States,,,,,DC,,United States,38.906704,-77.041912,"9:00 am - 5:00 pm, Monday - Friday",(202) 785-7719,Intake Number,,,(202) 785-7700,Administrative Number,(800) 326-2289,Toll-Free Number,(202) 785-7777,TTY/TDD Number,(202) 785-8754,,,,,,,laf@aauw.org,http://www.aauw.org,Active,,Provides a nationwide list of experienced attorneys and social scientists who serve as volunteer consultants to lawyers and plaintiffs considering or conducting sex discrimination litigation against higher education institutions.  Provides participants ex,373597,District of Columbia,,,,Linda D. Hallman,executive@aauw.org,Executive Director,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,"Telephone, Walk-In, E-mail",,,English,,,,,,,03/06/2000 00:00,4/18/12 9:47,,,
373598,AAUW Legal Advocacy Fund -DC Progress in Equity Award,PIE Award,,Program,AAUW Legal Advocacy Fund,372197,DCAP,Aauw Legal Advocacy Fund Sandra K. Lynne,1111 16Th St Nw,,Washington,DC,20036,United States,"1111 16Th Street, NW",,Washington,District Of Columbia,DC,20036,United States,,,,,DC,,United States,38.906704,-77.041912,"9:00 am - 5:00 pm, Monday - Friday",(202) 785-7719,Intake Number,,,(202) 785-7700,Administrative Number,(800) 326-2289,Toll Free Number,(202) 785-7777,TTY/TDD Number,(202) 785-8754,,,,,,,laf@aauw.org,http://www.aauw.org,Active,,"Recognizes a college or university program that has resulted in significant progress toward equity for women on campus and the community.  The award carries a stipend of up to $5,000 to help continue the program's work.  Programs must be innovative and re",373598,District of Columbia,,None,Linda D. Hallman,Executive Director,executive@aauw.org,,,,,,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 2                      ,,No fee                                                                                                                        ,"Telephone, Walk-In, E-mail",,,English,,,,,,,03/06/2000 00:00,4/18/12 9:48,,,
372059,Academy of Hope,,,Agency,Academy of Hope,0,DCAP,Academy Of Hope,601 Edgewood Street  Ne,Suite 25,Washington,DC,20017,United States,"601 Edgewood Street, NE",Suite 25,Washington,-1,DC,20017,United States,,,,,DC,,United States,38.937664,-76.993268,"8:30 am - 8:30 pm, Monday - Thursday; 9:00 am - 4:00 pm, Friday                                                                             ",(202) 269-6623,General Information                     ,,,,,,,,,(202) 269-6632,,,,,,,,http://www.aohdc.org,Active,," <br />		<p>The Academy of Hope provides high quality adult basic education in a manner that changes lives and improves our community.</p> <br />		<p>We envision education as transformational; equipped with education each person can achieve their personal",,District of Columbia,,,Lecester Johnson,Executive Director,,202-269-6623,Patricia DeFerrari,Research and Program Development Director,patricia@aohdc.org,(202) 269-6623 x110 ,,,None or unknown,,,,None or unknown,,No,No,,,,,,Please inquire,,,,,,,,,,07/06/1999 00:00,,,"Provides adult basic education, GED preparation, and computer training to low-income and external diploma program.",
372893,"Academy of Hope - Adult Basic Education (ABE), GED Preparation and College Prep",,,Program,Academy of Hope,372059,DCAP,Academy Of Hope - Adult Basic Education  Ged Adult Basic Education & Ged Preparation,"601 Edgewood Street, NE",Suite 25,Washington,DC,20017,United States,"601 Edgewood Street, NE",Suite 25,Washington,-1,DC,20017,United States,"GED Program, 3700 9th Street, SE",,Washington,,DC,20032,-1,38.937664,-76.993268,"8:30 am - 8:30 pm, Monday - Thursday (evening classes Monday - Wednesday only); 9:00 am - 4:00 pm, Friday; no evening hours when class is not in session",(202) 269-6623,General Information,(202) 373-0246,AoH in Ward 8,(202) 484-1264,AoH at Strive DC,,,,,(202) 269-6632,,,,,,,,www.aohdc.org,Active,,"Small classes and one-on-one tutoring provide individualized, contextualized instruction in the five subject areas of the GED -- Reading, writing, math, social studies and science. ABE classes have a strong emphasis on life and work skills; GED classes in",,District of Columbia,,DC residents 18 years and older; Strive for Success (Ward 6) also accepts youth 16 and 17 years old,Lecester Johnson,Executive Director,,202-269-6623,Patricia DeFerrari,Research and Program Development Director,patricia@aohdc.org,(202) 269-6623 x110 ,,,None or unknown,,,,None or unknown,,No,No,                    ,,                      ,,Student activity fee $30.00 per term. Assistance available on a needs basis.,Call for intake appointment.,,,,,,,,2/16/11 0:00,2/16/12 0:00,,,,"Key contact Person for Answers, Please!  Kate Randall,  Evening Program Coordinator  Phone: (202)328-2029  Fax: (202)328-1044",
372896,Academy of Hope - DC Computer Training Program,,,Program,Academy of Hope,372059,DCAP,Academy Of Hope - Computer Training Program Computer Training Program,601 Edgewood Street Ne,,Washington,DC,20017,United States,"601 Edgewood Street, NE",,Washington,District Of Columbia,DC,20017,United States,,,,,DC,,United States,38.937664,-76.993268,"8:00 am - 9:00 pm, Monday - Thursday; 8:00 am - 4:00 pm, Friday",(202) 269-6623,"Intake Number, After hours",,,,,,,,,(202) 269-6632,,,,,,,,http://www.aohdc.org,Active,,Provides classes in important computer skills.  Beginning and advanced classes in popular software applications available.<br /><br />Home visits: Brentwood              ,372896,District of Columbia,,"At least 18 years of age, and must be a DC resident at time of enrollment",,,,,Patricia DeFerrari,Research and Program Development Director,patricia@aohdc.org,(202) 269-6623 x110 ,,,None or unknown,,,,None or unknown,,No,No,NW                     ,,Transportation Available: 5                      ,,"Flat fee, $50.00. Assistance available on a needs basis.",Telephone,,,,,,,,,,07/06/1999 00:00,11/22/11 15:33,,"Contact:  Annette Banks,  Administration Director  Phone: (202)269-6623  Fax: (202)269-6632",
373942,Academy of Hope - DC External Diploma Program,,,Program,Academy of Hope,372059,DCAP,Academy Of Hope - External Diploma Program,601 Edgewood Street Ne,,Washington,DC,20017,United States,"601 Edgewood Street, NE",Suite 25,Washington,District Of Columbia,DC,20017,United States,,,,,DC,,United States,38.937664,-76.993268,"9:00 am - 9:00 pm, Monday - Thursday; 8:00 am - 4:00 pm, Friday",(202) 269-6623,General Information,,,,,,,,,(202) 269-6632,,,,,,,,http://www.aohdc.org,Active,,"Provides adult learners with an alternative means of receiving a high school diploma. Students are given educational credit for life experiences and professional skills. Students take diagnostic tests in reading, writing, and math, and are assessed for co",373942,District of Columbia,,"At least 25 years of age, must be a DC resident at time of enrollment, and demonstrate high-school level reading skills",,,,,Patricia DeFerrari,Research and Program Development Director,patricia@aohdc.org,(202) 269-6623 x110,,,None or unknown,,,,None or unknown,,No,No,NE                     ,,Transportation Available: 5                      ,,Flat fee $50.00. Assistance available on a needs basis.,Telephone,,,,,,,,,,07/06/1999 00:00,11/22/11 15:38,,,
