LP,Bezeichnung,Kapitel/Titel,
B02021,Hadronen- und Kernphysik - Aktivitäten beim CERN,,
B02022,Hadronen- und Kernphysik - Aktivitäten bei SIN/PSI,,
B02023,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,,
B02024,Hadronen- und Kernphysik - Anwendungen kernphysikalischer Methoden,,
B02025,Hadronen- und Kernphysik - Aktivitäten an COSY,,
B02032,Hadronen- und Kernphysik - Aktivitäten bei GSI,,
B02033,Hadronen- und Kernphysik - Aktivitäten beim ILL,,
B02034,Hadronen- und Kernphysik - hoch-dichte Materie,,
B02035,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,,
B02036,Hadronen- und Kernphysik - Aktivitäten am FRM-II,,
B02039,Hadronen- und Kernphysik - Sonstiges,,
B030,Kondensierte Materie,300468550,
,,,
,,300489450,
B03041,Atom- und Molekülphysik - Synchrotronstrahlung,,
B03042,Atom- und Molekülphysik - Teilchenstrahlen,,
B03049,Atom- und Molekülphysik - Sonstiges,,
B03051,Erforschung kondensierter Materie - Neutronenstreuung,,
B03052,Erforschung kondensierter Materie - Synchrotronstrahlen,,
B03053,Erforschung kondensierter Materie - Teilchenstrahlen,,
B03054,Erforschung kondensierter Materie - mit anderen Methoden,,
B03059,Erforschung kondensierter Materie - Sonstiges,,
B03060,Nuklearchemie (abgeschlossen),,
B040,Mathematik und Astrophysik,300468550,
,,300489450,
B04065,Ausgewählte Gebiete der Mathematik,,
B04066,Ausgewählte Gebiete der Astrophysik,,
B04067,Ausgewählte Gebiete der Teilchen-Astrophysik,,
B050,Apparative Entwicklung,300468550,
,,300489450,
B05071,Apparative Entwicklung - Lichtquellen,,
B05072,Apparative Entwicklung - Teilchenquellen,,
B05073,Apparative Entwicklung - Beschleunigertechnologie,,
B05079,Apparative Entwicklung - Sonstiges,,
B060,Einzelne Großgeräte-Investitionen der Grundlagenforschung,300468550,
,,300489450,
B06003,"SNQ,ESS",,
B06004,Forschungsreaktor München II (FRM II),,
B06005,BESSY,,
B06099,Sonstiges im Rahmen der Großgeräte der Grundlagenforschung,,
B070,Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,300468550,
,,300489450,
B07080,Sonstiges im Rahmen der Forschung an Großgeräten der Grundlagenforschung,,
B07085,Zusammenarbeit mit dem Vereinigten Institut für Kernforschung (VIK) in Dubna,,
B07088,Untersuchungen Plasmaphysik (abgeschlossen),,
B07090,Projektstabskosten,,
B07091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
B07092,Beratungsgremien (SK),,
B080,Anwendung naturwissenschaftlicher Methoden in den Geisteswissenschaften,300468550,
B08000,Anwendung naturwissenschaftlicher Methoden in den Geisteswissenschaften,,
B085,Fusionsforschung,300468550,
B08500,Fusionsforschung,300468550,
B090,Internationale und institutionelle Förderung,300368770,
B09010,Europäische Organisation für Astronomische Forschung in der südlichen Hemisphäre (ESO) - Beitrag und Leistungen,,
B09030,Institut Max von Laue-Paul Langevin (ILL) (Höchstfluß-Forschungsreaktor) - Beitrag,,
B09050,Kiepenheuer-Institut für Sonnenphysik (KIS) - institutionelle Förderung,,
B09053,Astrophysikalisches Institut Potsdam (AIP) - institutionelle Förderung,,
B09056,Weierstraß-Institut für angewandte Analysis und Stochastik (WIAS) im Forschungsverbund Berlin e.V. - institutionelle Förderung,,
B09060,Institut für Spektrochemie und angewandte Spektroskopie (ISAS) - institutionelle Förderung,,
B09065,Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung mbH (BESSY),,
B09070,Europäische Synchrotronstrahlungsanlage (ESRF) - Beitrag und Leistungen,,
B09080,Europäischer Transschall-Windkanal (ETW),,
B09099,Sonstige Förderung,,
C,Meeres- und Polarforschung; Meerestechnik,,
C1,Meeres- und Polarforschung,,
C110,Klimafaktor Ozean/Polargebiete,300468540,
,,300489440,
C11010,Globale Systemforschung (z.B. im Rahmen des WCRP und IGBP),,
C11020,Wirkungsforschung (z.B. Ozean/Atmosphäre-Wechselwirkung),,
C120,Marine und polare Ökosystemforschung,300468540,
,,300489440,
C12010,"Regionale Systemforschung (Ostsee, Nordsee, Tiefsee, Polarregionen usw.)",,
C12020,Wirkungsforschung (z.B. Schadstoffflüsse und - wirkungen),,
,,,
C130,Marine Ressourcen einschl. Naturstoffforschung,300468540,
,,300489440,
C13010,Identifizierung und Untersuchung mariner Naturstoffe,,
C13020,Andere marine Ressourcen,,
C140,Meeresforschungstechnik,300468540,
,,300489440,
C14010,"Technik-/Infrastrukturentwicklung und -bereitstellung (Überwachungssysteme, Begleitforschung zum Monitoring, innovative Technik und Geräteträger)",,
C150,Integriertes Küstenzonenmanagement,300468540,
,,300489440,
C15010,"Begleitforschung, Infrastrukturentwicklung",,
C160,Infrastruktur,300468540,
,,300489440,
C16010,Bau eines mittelgroßen Schiffes,,
C16020,Gerätepool der Meeresforschung,,
C16030,"Große, mittelgroße Forschungsschiffe; Schiffspool",,
C170,Marine Aquakultur,300468540,
,,300489440,
C17010,Marine Aquakultur,,
C180,Küsteningenieurwesen,300468540,
,,300489440,
C18010,Erfassung und Vorhersage der Naturbedingungen im Küstenbereich,,
C18020,Wechselwirkungen Meer / Küstenbauwerk,,
C18090,Projektstabskosten,,
C18091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
C18099,Sonstiges,,
C190,Querschnittsaufgaben im Rahmen der Meeres- und Polarforschung,160254401,
,,300468540,
,,300489440,
,,3014,
C19090,Projektstabskosten,,
C19091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
C19092,Beratungsgremien (SK),,
C19093,Institutionelle Förderung,3014,
C19099,Sonstiges im Rahmen der Meeres- und Polarforschung,,
C2,Schiffs- und Meerestechnik,,
C210,Marine Rohstoffe (abgeschlossen),090268312,
C21010,Marine Rohstoffe - Prospektion und Exploration (abgeschlossen),,
C21020,Marine Rohstoffe - Fördertechnik (abgeschlossen),,
C220,Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),090268312,
C22010,Offshore-Technik für Kohlenwasserstoffe - Grundlagen (abgeschlossen),,
C22020,Offshore-Technik für Kohlenwasserstoffe - Prospektion und Exploration (abgeschlossen),,
C22030,Offshore-Technik für Kohlenwasserstoffe - Produktionstechnik (abgeschlossen),,
C22040,"Transport- und Lagertechnik -Rohrleitung, Seetransport, Speicher-",,
C22050,"Prozeßanlagen, Energieumwandlung Offshore (abgeschlossen)",,
C22060,"Service-Einrichtungen -Versorgungsschiffe, Überwachung- (abgeschlossen)",,
C22070,Unterwasser-Technik (abgeschlossen),,
C230,Schiffstechnik (abgeschlossen),090268312,
C23010,Grundlagen der Schiffstechnik (abgeschlossen),,
C23020,"Seegehende Transportsysteme, Spezialschiffe (abgeschlossen)",,
C23030,Marine Eisbrechtechnik (abgeschlossen),,
C23040,Schiffsantriebe (abgeschlossen),,
C23050,Schiffsbetriebstechnik (abgeschlossen),,
C23060,Schiffsfertigungstechnik (abgeschlossen),,
C240,Schiffs- und Schiffsfertigungstechnik,090268312,
C24010,Verbesserung des Verkehrsträgers Schiff,,
C24020,Fertigungstechnik,,
C24030,Transportverlagerung,,
C24040,Binnenschifffahrt,,
C250,Meerestechnik,090268312,
C25000,Meerestechnik,,
C290,übrige und Querschnittsaktivitäten Meerestechnik,090268312,
C29010,Erfassung und Vorhersage der Naturbedingungen im Küstenbereich,,
,,,
C29020,Wechselwirkungen Meer/Küstenbauwerk,,
C29090,Projektstabskosten,,
C29091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
C29099,Sonstiges im Rahmen der Meerestechnik,,
D,Weltraumforschung und Weltraumtechnik,,
D1,Nationale Förderung von Weltraumforschung und Weltraumtechnik,,
D110,Erforschung des Weltraums,090268335,
,,090289235,
D11010,Atmosphärenphysik,,
D11020,Erforschung des Sonnensystems,,
D11030,Astronomie und Astrophysik,,
D11040,Technologieentwicklungen für extraterrestrische Missionen,,
D11050,Startvorbereitungen und -gebühren im Rahmen der Erforschung des Weltraums,,
D11060,Übergreifendes und Sonstiges im Rahmen der Erforschung des Weltraums,,
D11080,Studien im Rahmen der Erforschung des Weltraums,,
D11091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D11092,Beratungsgremien (SK),,
D120,Erdbeobachtung,090268335,
,,090289235,
D12011,Forschungsvorhaben - anwendungsorientierte Grundlagenforschung (Signaturen),,
D12012,Forschungsvorhaben - methodische Untersuchungen zur Datenverarbeitung im Rahmen der Erdbeobachtung,,
D12013,Forschungsvorhaben - Pilot- und Demonstrationsvorhaben,,
D12021,"Geräteentwicklung und -nutzung - Land-, Ozean- und Meeresbeobachtung",,
D12022,Geräteentwicklung und -nutzung - Physik der festen Erde,,
D12023,"Geräteentwicklung und -nutzung - Spurengaskonzentrationen in der Atmosphäre, Strahlungsbilanz",,
D12050,Startvorbereitungen und -gebühren im Rahmen der Erdbeobachtung,,
D12060,Übergreifendes und Sonstiges im Rahmen der Erdbeobachtung,,
D12080,Studien im Rahmen der Erdbeobachtung,,
D12091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D12092,Beratungsgremien (SK),,
D130,Forschung unter Weltraumbedingungen,090268335,
,,090289235,
D13010,Forschung unter Weltraumbedingungen - Materialwissenschaften,,
D13020,Forschung unter Weltraumbedingungen - Biowissenschaften und Medizin,,
D13030,Forschung unter Weltraumbedingungen - Entwicklung und Bau von Experimentanlagen,,
D13040,Forschung unter Weltraumbedingungen - Flugprogramme,,
D13060,Übergreifendes und Sonstiges im Rahmen der Forschung unter Weltraumbedingungen,,
D13080,Studien im Rahmen der Forschung unter Weltraumbedingungen,,
D13091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D13092,Beratungsgremien (SK),,
D140,Raumtransport,090268335,
,,090289235,
D14010,Antriebstechnologie,,
D14020,"Strukturen, Bauweisen und Treibstofftanks",,
D14030,Wiedereintrittstechnologie für wiederverwendbare Trägersysteme,,
D14040,Fahrzeugsystemkonzepte,,
D14060,Übergreifendes und Sonstiges im Bereich Raumtransport,,
D14080,Studien im Bereich Raumtransport,,
D14091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D14092,Beratungsgremien (SK),,
D150,"Raumstation, bemannte Raumfahrt und Exploration",090268335,
,,090289235,
D15010,D2 - Raumfahrtmissionsleistung,,
D15020,Multidisziplinäre Raumfahrtmissionsleistungen,,
D15030,Exploration,,
D15060,Übergreifendes und Sonstiges im Bereich Raumstation und bemannte Raumfahrt,,
D15080,Studien im Bereich Raumstation und bemannte Raumfahrt,,
D15091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D15092,Beratungsgremien (SK),,
D160,Satellitenkommunikation,090268335,
,,,
,,090289235,
D16010,Nutzlastentwicklungen und -technologien einschließlich Antennen im Rahmen der Satellitenkommunikation,,
D16020,Busentwicklungen und -technologien im Rahmen der Satellitenkommunikation,,
D16060,Übergreifendes und Sonstiges im Rahmen der Satellitenkommunikation,,
D16080,Studien im Rahmen der Satellitenkommunikation,,
D16091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D16092,Beratungsgremien (SK),,
D170,Satellitennavigation,090268335,
,,090289235,
D17010,Systemuntersuchungen und Technologie für die Satellitennavigation,,
D17020,Pilot- und Demonstrationsvorhaben für Anwendungen der Satellitennavigation,,
D17030,Empfänger- und Antennentechnologie für die Satellitennavigation,,
D17060,Übergreifendes und Sonstiges im Rahmen der Satellitennavigation,,
D17080,Studien im Rahmen der Satellitennavigation,,
D17091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D17092,Beratungsgremien (SK),,
D180,Technik für Raumfahrtsysteme und übrige Aktivitäten Weltraumforschung und Weltraumtechnik,090268335,
,,090289235,
D18010,Technik für Raumfahrtsysteme,,
D18015,Robotik für Raumfahrtsysteme,,
D18020,Produktsicherung im Rahmen der Weltraumforschung und Weltraumtechnik,,
D18030,KMU-Programm und Kommerzialisierung im Rahmen der Weltraumforschung und Weltraumtechnik,,
D18040,Betriebssysteme im Rahmen der Weltraumforschung und Weltraumtechnik,,
D18050,Schul- und Jugendprojekte,,
D18070,Anlagen der Industrieanlagen-Betriebsgesellschaft (IABG),,
D18080,Strategische Studien im Rahmen der Weltraumforschung und Weltraumtechnik,,
D18090,Projektstabskosten,,
D18091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
D18092,Beratungsgremien (SK),,
D18098,Weiterbildung im Rahmen der Weltraumforschung und Weltraumtechnik (abgeschlossen),,
D18099,Sonstiges im Rahmen der Weltraumforschung und Weltraumtechnik,,
D190,Kostenerstattung für das deutsche Raumfahrtmanagement,090268335,
D19010,Kostenerstattung für die Deutsche Agentur für Raumfahrtangelegenheiten (DARA),,
D19020,Kostenerstattung für das Raumfahrtmanagement beim Deutschen Zentrum für Luft- und Raumfahrt (DLR) und beim Forschungszentrum Jülich (KFA),,
D2,Europäische Weltraumorganisation (ESA),,
D200,Europäische Weltraumorganisation (ESA),090289601,
D20000,Europäische Weltraumorganisation (ESA),,
E,Energieforschung und Energietechnologie,,
E1,Kohle und andere fossile Energieträger,,
E111,"Erkundung, Gewinnung und Aufbereitung von Kohle",090268321,
,,090289221,
E11110,Prospektion von Kohle,,
E11120,Exploration von Kohle,,
E11131,Gewinnung von Kohle - Vortriebs- und Abbautechnik,,
E11132,Gewinnung von Kohle - Bergbauplanung und Logistik,,
E11140,Aufbereitung von Kohle,,
E11150,Untertageumwandlung und Kohleforschung,,
E11180,"Sonstiges im Rahmen der Erkundung, Gewinnung und Aufbereitung von Kohle",,
E112,"Erkundung, Gewinnung und Aufbereitung anderer fossiler Energieträger",090268321,
,,090289221,
E11211,Erdöl und Erdgas - Prospektion,,
E11212,Erdöl und Erdgas - Exploration,,
E11213,"Erdöl und Erdgas - Gewinnung, Transport und Speicherung",,
E11219,Erdöl und Erdgas - Sonstiges,,
E11221,Bitumen und Schweröl - Gewinnungsmethoden,,
E11222,Bitumen und Schweröl - Aufbereitungsverfahren,,
E11229,Bitumen und Schweröl - Sonstiges,,
E11231,Tertiäre Erdölförderung - Chemikalienentwicklung,,
E11232,Tertiäre Erdölförderung - Feldversuche,,
,,,
E11239,Tertiäre Erdölförderung - Sonstiges,,
E11240,Tiefbohrtechnik für fossile Energieträger,,
E11250,Ölschiefer,,
E11260,Mikrobiologische Verfahren der Energietechnik - Erdöl,,
E113,Feuerungs- und Kraftwerkstechnik für den Kohleeinsatz,,090268321
,,,090289221
E11311,Konventionelle Kraftwerkstechnik - Verfahrensentwicklung,,
E11312,Konventionelle Kraftwerkstechnik - Komponentenentwicklung,,
E11313,Konventionelle Kraftwerkstechnik - Umweltschutztechnik,,
E11314,Konventionelle Kraftwerkstechnik - Systemstudien,,
E11321,Fortgeschrittene Kraftwerkssysteme - Wirbelschichttechnik drucklos,,
E11322,Fortgeschrittene Kraftwerkssysteme - Wirbelschichttechnik unter Druck,,
E11323,Fortgeschrittene Kraftwerkssysteme - Kraftwerke mit Kohledruckvergasung,,
E11324,Fortgeschrttene Kraftwerkssysteme - Sonstige Systeme,,
E11325,Fortgeschrittene Kraftwerkssysteme - Komponentenentwicklung,,
E11326,Fortgeschrttene Kraftwerkssysteme - Kraftwerke mit Null Emissionen,,
E11330,Feuerungstechnik für Industrie und Kleinverbrauch,,
E11340,Sonstiges im Rahmen der Feuerungs- und Kraftwerkstechnik,,
E114,Kohleverflüssigung,,090268321
,,,090289221
E11410,Kohleverflüssigung - Bau von Pilotanlagen,,
E11420,Kohleverflüssigung - Betrieb von Pilotanlagen,,
E11430,Kohleverflüssigung - Komponentenentwicklung und Grundlagen,,
E11440,Kohleverflüssigung - Demonstrationsanlagen,,
E11480,Kohleverflüssigung - Sonstiges,,
E115,Kohlevergasung,,090268321
,,,090289221
E11510,Kohlevergasung - Bau von Pilotanlagen,,
E11520,Kohlevergasung - Betrieb von Pilotanlagen,,
E11530,Kohlevergasung - Komponentenentwicklung und Grundlagen,,
E11540,Kohlevergasung - Umwelt und Sicherheit,,
E11580,Kohlevergasung - Sonstiges,,
E11610,C02-Abtrennung,,
E11620,C02-Nutzung,,
E11630,C02-Transport,,
E11640,C02-Speicherung,,
E119,Umwandlung fossiler Energieträger und Querschnittsaktivitäten,,090268321
,,,090268697
,,,090289221
E11910,Kokserzeugung,,
E11920,Andere Kohleumwandlungstechnologien,,
E11940,Feuerungs- und Kraftwerkstechnik für fossile Energieträger -außer Kohle-,,
E11990,Projektstabskosten,,
E11991,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E11992,Beratungsgremien (SK),,
E11999,Sonstige Aktivitäten fossile Energieträger,,
E2,Erneuerbare Energien und rationelle Energieverwendung,,
E210,Photovoltaik - Projektförderung,,160268321
,,,160268697
,,,160289221
E21011,Photovoltaik - kristallines Silizium - Basismaterial,,
E21012,"Photovoltaik - kristallines Silizium - Zelle, Modul",,
E21013,Photovoltaik - kristallines Silizium - Dünnschichtstrukturen,,
E21021,Photovoltaik - amorphes Silizium,,
E21031,Photovoltaik - Inversionsschichtzelle,,
E21041,Photovoltaik - andere Strukturen - Verbindungshalbleiter,,
E21042,Photovoltaik - andere Strukturen - Sonstiges,,
E21051,Photovoltaik - Anwendung und Demonstration - allgemeine Untersuchungen,,
E21052,Photovoltaik - Anwendung und Demonstration - Komponenten,,
E21053,Photovoltaik - Anwendung und Demonstration - Netzkopplung,,
E21054,Photovoltaik - Anwendung und Demonstration - Inselbetrieb,,
E21055,Photovoltaik - Anwendung und Demonstration - Hybridsysteme,,
E21059,Photovoltaik - Anwendung und Demonstration - Sonstiges,,
E21060,Begleitende Projektförderung zum Bund-Länder-1000-Dächer-Photovoltaik-Programm,,
,,,
E21070,Photovoltaik - Geräte und Kleinsysteme,,
E21090,Projektstabskosten,,
E21099,Photovoltaik - übergreifende und sonstige Untersuchungen,,
E211,Photovoltaik - indirekt-spezifische Förderung,160268321,
,,160268697,
,,160289221,
E21100,Bund-Länder-1000-Dächer-Photovoltaik-Programm,,
E212,Windenergie - Projektförderung,160268321,
,,160268697,
,,160289221,
E21210,Große Windkraftanlagen,,
E21220,Mittlere Windkraftanlagen,,
E21230,Kleine Windkraftanlagen,,
E21240,Projektförderung im Rahmen der Fördermaßnahme 100/250 MW Wind (z.B. Meß- und Evaluierungsprogramm),,
E21250,Projektförderung Offshore-Windparks,,
E21280,Sonstiges im Rahmen der Windenergie,,
E213,Windenergie - indirekt-spezifische Förderung,160268321,
,,160268697,
,,160289221,
E21300,Fördermaßnahme 100/250 MW Wind,,
E214,Nutzungssysteme für südliche Klimabedingungen,160268321,
,,160268697,
,,160289221,
E21411,Thermische Nutzung in der Landwirtschaft - Entwicklung von Luftkollektoren,,
E21412,Thermische Nutzung in der Landwirtschaft - solare Trocknung,,
E21413,Thermische Nutzung in der Landwirtschaft - Gewächshäuser,,
E21419,Thermische Nutzung in der Landwirtschaft - Sonstiges,,
E21420,Thermische Nutzung im Hochtemperaturbereich zur Bereitstellung von Prozeßwärme,,
E21425,Solare Meerwasserentsalzung und Brackwasseraufbereitung,,
E21430,Solar angetriebene Wasserpumpe,,
E21435,Solare Kühlung,,
E21440,Studien über solarthermische Stromerzeugung,,
E21445,Komponentenentwicklung für solarthermische Stromerzeugung,,
E21450,Solarthermische Kraftwerke ab 100 kW - allgemein,,
E21451,Solarthermische Kraftwerke ab 100 kW - SSPS,,
E21452,Solarthermische Kraftwerke ab 100 kW - GAST (einschl. Projektbegleitung),,
E21453,Solarthermische Kraftwerke ab 100 kW - Eurelios,,
E21455,Solarthermische Kleinkraftwerke,,
E21458,Solarthermische Kraftwerke - Paraboloide,,
E21459,Solarthermische Kraftwerke - Aufwindtechnik,,
E21460,Projektbegleitende Meßprogramme (solare Prozeßwärme),,
E21480,Kooperationsvorhaben (erneuerbare Energien),,
E21481,Kooperationsvorhaben (erneuerbare Energien) - Eldorado Sonne 2,,
E21482,Kooperationsvorhaben (erneuerbare Energien) - Eldorado Wind,,
E21483,"Kooperationsvorhaben (erneuerbare Energien) - Eldorado, begleitende Maßnahmen",,
E21484,Kooperationsvorhaben (erneuerbare Energien) - NCRD/Israel,,
E21485,Kooperationsvorhaben (erneuerbare Energien) - Solardorf REI/Indonesien,,
E21486,Kooperationsvorhaben (erneuerbare Energien) - Lykovrissi/Griechenland,,
E21487,Kooperationsvorhaben (erneuerbare Energien) - Daxing/VR China,,
E21488,Kooperationsvorhaben (erneuerbare Energien) - Sonntlan/Mexiko,,
E21489,Kooperationsvorhaben (erneuerbare Energien) - Sonstiges,,
E21491,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E215,"Biologische Energiegewinnung, -speicherung und -nutzung",160268321,
,,160268697,
,,160289211,
E21511,"Energiegewinnung durch Pflanzen (Photosynthese, Pflanzenstoffwechsel)",,
E21512,Biologische Wasserstoffgewinnung,,
E21520,Energetische Nutzung von Pflanzen (1992 abgeschlossen),,
E216,Geothermie,160268321,
,,160268697,
,,160289221,
E21611,Prospektion und Exploration geothermische Energie,,
E21612,Warmwasser- und Dampflagerstätten,,
,,,
E21613,Hot Dry Rock (heißes Tiefengestein),,
E21619,Sonstiges im Rahmen der geothermischen Energie,,
E217,Übrige und Querschnittsaktivitäten erneuerbare Energien,090268321,
,,090268697,
,,090289221,
,,160268321,
,,160268624,
,,160268697,
,,160289221,
E21721,Biomasse und Abfälle - direkte Verbrennung (abgeschlossen),,
E21722,Biomasse und Abfälle - thermische Konversion (abgeschlossen),,
E21723,Biomasse und Abfälle - Biogas (abgeschlossen),,
E21729,Biomasse und Abfälle - Sonstiges (abgeschlossen),,
E21730,Wasserkraft,,
E21790,Projektstabskosten,,
E21795,Studien (erneuerbare Energiequellen),,
E21796,"Tagungen, Statusseminare (erneuerbare Energiequellen)",,
E21797,"Meßprogramme, Teststände (erneuerbare Energiequellen)",,
E21799,Sonstiges im Rahmen der erneuerbaren Energiequellen,,
E218,Optimierung der Energieversorgungssysteme im Hinblick auf den Ausbau der Erneuerbaren Energien,160268321,
,,160289221,
E21811,Elektrizität Wind,,
E21812,Elektrizität Photovoltaik,,
E21813,Elektrizität Sonstiges,,
E21814,Wärme,,
E21815,Mobilität,,
E21816,Sonstiges,,
E21891,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E219,Klimaschutzinitiative KSI,160268624,
E21910,"KSI - Klimaschutzprojekte in sozialen, kulturellen und öffentlichen Einrichtungen",,
E21911,KSI - Erstellung von Klimaschutzkonzepten,,
E21912,KSI - Beratende Begleitung von Klimaschutzkonzepten,,
E21913,KSI - Klimaschutztechnologien bei der Stromnutzung,,
E21914,KSI - Modellprojekte zum Klimaschutz,,
E21920,KSI - Energetische Biomassenutzung,,
E21930,KSI - Begleitprogramm,,
E221,Sekundärenergiesysteme,090268321,
,,090289221,
E22111,"Parameterstudien, methodische Untersuchungen zu Versorgungskonzepten",,
E22112,Regionale Versorgungskonzepte,,
E22113,Örtliche Versorgungskonzepte,,
E22114,Studien zur Fernwärmeversorgung,,
E22120,Studien und Grundlagenuntersuchungen zur Kraft-Wärme-Kopplung (KWK),,
E22121,Kühlung von Wärmekraftwerken und Abwärmenutzung,,
E22122,Fern- und Nahwärmeerzeugung - Auskopplung aus Großkraftwerken,,
E22123,Fern- und Nahwärmeerzeugung - industrielle Abwärme für Fernheizzwecke,,
E22126,Fern- und Nahwärmeerzeugung - Blockheizkraftwerke (BHKW),,
E22127,Fern- und Nahwärmeerzeugung - Wärmepumpen in Fernwärmeversorgungssystemen,,
E22128,Fern- und Nahwärmeerzeugung - Kälte aus Fernwärme,,
E22141,Großwärmespeicher,,
E22142,Aquiferospeicher,,
E22143,Hochtemperaturspeicher,,
E22144,Niedertemperaturspeicher,,
E22148,Mechanische und andere Speicher,,
E22151,Wärmetransport und -verteilung - neue Verlegeverfahren,,
E22152,Wärmetransport und -verteilung - Selbstvorspannung,,
E22153,Wärmetransport und -verteilung - Reibungsminderer,,
E22155,Wärmetransport und -verteilung - VSI-Rohrtechnik,,
E22156,Wärmetransport und -verteilung - Betriebsoptimierung,,
E22157,Wärmetransport und -verteilung - mobile Fernwärme,,
E22158,Wärmetransport und -verteilung - Fernwärme-Sanierung-Ost,,
E222,Fortgeschrittene Systeme zur Stromerzeugung und -speicherung,090268321,
,,090268617,
,,,
,,090268697,
,,090289221,
,,120253161,
,,120268361,
,,120289161,
,,609168361,
,,609189161,
E22210,"Photochemie, Photoelektrochemie",,
E22220,"Elektrolyse, Transport, Speicherung",,
E22231,Brennstoffzellen - Entwicklung,,
E22232,Brennstoffzellen - Demonstration,,
E22271,Nichtkonventionelle Erzeugung von Elektrizität,,
E22272,Transport von Elektrizität,,
E22273,Speicherung von Elektrizität,,
E22275,Kapazitätsauslastung Elektrizität,,
E22279,Elektrizität Verschiedenes,,
E22291,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
E232,Energiesparende Industrieverfahren,090268321,
,,090289221,
E23201,Energiesparende Industrieverfahren - Wärmetauscher,,
E23202,"Energiesparende Industrieverfahren - Wärmepumpen, Kältemittel",,
E23203,Energiesparende Industrieverfahren - Wärmetransformatoren/ORC-Anlagen,,
E23204,Energiesparende Industrieverfahren - Industrieöfen,,
E23205,Energiesparende Industrieverfahren - Kraftmaschinen mit äußerer Verbrennung,,
E23206,Energiesparende Industrieverfahren - Zerkleinern von Feststoffen,,
E23207,Energiesparende Industrieverfahren - Trocknungsprozesse,,
E23208,Energiesparende Industrieverfahren - mechanische und thermische Trennverfahren,,
E23209,Energiesparende Industrieverfahren - elektrolytische Trennverfahren,,
