id,景點編號,景點中文名稱,景點特色詳細文字簡述,開放時間,景點之管理權責單位代碼,X坐標,Y坐標,景點分類代碼1,Changetime,地址,景點服務電話,停車資訊,主要停車場X坐標,主要停車場Y坐標,票價及相關價格資料,警告及注意事項,常用搜尋關鍵字
v_11,C1_395000000A_000011,北門錢來也雜貨店,"建於民國41年，為傳統斜瓦平房。為早期台鹽鹽工福利社，提供鹽工購買日常用品的場所(及育樂中心，2001年間台鹽在北門鹽場停止鹽業生產。 
民國2003年6月推動閒置空間再造，聘請留法建築師林雅茵，進行改造行動，讓這棟老建物重新賦予新時代意義。 
「錢來也」牆壁外觀是利用當地廢棄瓦片、貝殼、蚵殼鋪至而成，屋前掛著金元寶的招牌，象徵生意興隆、財源滾滾。 

遊客來到錢來也有三件事情一定要做： 
1、蓋錢來也紀念戳章，表示8個代表發、9個代表發財久久、10個代表十全十美。 
2、與錢來也雜貨店的招牌合照，表示「錢來也」。 
3、跟「錢」瓦斯桶合照，表示提「錢」。 ",一~日09:00~18:00,395000000A,120.124069,23.268121,01,2012/09/26 12:00:00,臺南市北門區北門里舊埕187號,886-6-7862627,,,,,,
v_12,C1_395000000A_000012,"北門九氳氤
(陳姓桂記墓園)","位於北門區台17線省道約143公里處旁的一座小山丘，相傳為鄭成功姑媽鄭細所葬之處，當地居民稱這座墓園為「老祖媽墓」。 
相傳清政府為讓明鄭在台風水永遠滅絕，乃四處挖掘明鄭後嗣族人墳墓；鄭氏後人為免清政府挖掘，特在「北門嶼」的這座小丘附近建了9處相同的墳墓，以假亂真，加上過去地理位置處於台江內海附近，海面煙霧瀰漫整個山丘，而有「九氳氤」之說法。 ",一~日00:00~24:00,395000000A,120.125756,23.260302,03,2012/09/26 12:00:00,台南市北門區北門里舊埕200號,886-6-7861017 ,,,,,,老祖媽墓
v_13,C1_395000000A_000013,台灣烏腳病醫療紀念館,"烏腳病（Blackfoot Disease ）是一種盛行於台灣西南沿海，特別是北門、學甲、布袋、義竹等鄉鎮地區的流行性下肢周邊血管疾病。台灣醫學會報告在1954年正式提出；據信烏腳病發生原因極可能是濱海地區民眾、飲用含有砷過量的深井水，造成的慢性砷中毒；患者甚至伴隨有肝、腎、膀胱等癌症併發。 
位於北門區的新成立的烏腳病診所，是土角厝建物，亦為台灣首座醫療文物館。目前紀念館內籌備以收藏台灣醫療文物、烏腳病患者醫療資料等為主，其中有許多以防腐劑泡存的烏腳病患者殘肢，在基督十字架前安息著，見證受難者的苦難歲月。","二~日09:00~17:00
",395000000A,120.123729,23.269567,14,2012/09/26 12:00:00,臺南市北門區永隆里27號,886-6-7862012,,,,,,
v_14,C1_395000000A_000014,林崑岡紀念館,林崑岡生於清道光12年（1832），人稱武秀才，是位文武兼備的讀書人，熱心地方事務，因不滿甲午戰爭，台灣成為日本的領土，當時林崑岡率領投效的5000人組義軍對抗日軍，後雖不幸犧牲，卻讓後人感念不已；在3樓另有關聖帝君文化館，介紹關公生平事蹟及神格典故。 ,開放時間請預約 ,395000000A,120.158479,23.198491,01,2012/09/26 12:00:00,臺南市將軍區忠興里196號2樓,886-6-7942314,,,,,,
v_15,C1_395000000A_000015,海寮紅樹林保護區,紅樹林是指生長在海河交界的耐鹽性植物。目前台灣現存的紅樹林只有四種：水筆仔、欖李、海茄苳及五梨跤。從臺南市沿海北起八掌溪口，南至曾文溪口，海岸地區風浪較小，浮洲、湖、河口沼澤地特多，泥沙在河口沿海淤積，成為紅樹林落腳繁衍的好地方。分別分布在北門區生長於急水溪口的淺沼泥地，樹種為海茄苳、水筆仔；將軍區生長於將軍溪口，樹種為水筆仔、海茄苳；七股區生長於海寮港及海埔地魚塭內路溝岸曾文溪口粘沼泥地，散生五公頃海茄苳、欖李等。紅樹林內蘊藏大量的礦物質和有機物，是彈塗魚、招潮蟹的天堂。市府每年仍將繼續以人工復育方式，栽植紅樹林，期能讓國寶級的紅樹林，為南市沿海地區營造最自然的生態環境。　　 ,一~日00:00~24:00,395000000A,120.089943,23.118338,02,2012/09/26 12:00:00,臺南市七股區鹽埕里68號,886-6-7801162 ,,,,,為海域地區除小心自身安全外並請維護當地生態完整及其環境清潔.,
v_16,C1_395000000A_000016,將軍溪口觀賞紅樹林,"留有大溪河影子的將軍溪口，渥渥西流，溪邊的「水筆仔」紅樹林，展現旺盛的生命力，在烏黑的溪水堅強生存。「水筆仔」屬於紅樹科的紅樹林，支柱根由主幹基部擴展伸出，胎生苗為其特色，成長條狀將軍溪口的水筆仔，表面光滑，成熟後直接掉落泥面發芽、成長，相當神奇，這也是它最引人興趣的地方。 
將軍溪口的這片「水筆仔」紅樹林，幾近兩公頃，大致由學甲和將軍區「苓仔寮」之間的「華宗橋」以下至出海口兩岸間，長約六公里，較佳的觀賞位置，可在退潮時，由「將軍溪橋」旁（橋東）的小路步下溪邊泥地觀看，或由將軍區廣山里「頂山仔腳」庄北步行到將軍溪邊即可。 ",一~日00:00~24:00,395000000A,120.116264,23.225790,02,2012/09/26 12:00:00,台南市將軍區平沙里156號,886-6-7930460,,,,,,
v_17,C1_395000000A_000017,方圓美術館,"「方圓美術館」原是將軍鄉首任鄉長黃清舞的故居「遂園」，建於日治時期昭和十九年，是一棟令人稱奇， 結合西式洋樓、廊院式四合院、圓拱迴廊，展現建築優雅風味的老宅院。已久無人居的大宅院原本十分荒蕪，後來經財團法人方圓文化藝術基金會接手整修重現古味，將之變身為「方圓美術館」，重新賦予歷史老建築藝術新生命。 
館內特展以當代藝術為主，然而由於館藏台灣早期常民陶瓷器物豐富，故館內所呈現出的是一個 傳統與現代相融合的藝文空間。就如同傳統的記憶是每個人生活中的點點滴滴，農業社會結構下，每個人努力生活的縮影；而現代藝術跨越時空帶領大家活在當下，每位當代藝術家藉各種媒材和形式，表現出自己的內心情感，讓觀者在忙著生活之餘，能停下腳步，用心發聲、細細咀嚼，賦於新意念，生命更加燦爛。 
此外，館內特別保留了老鄉長的書房常態展出故居文物，包括許多珍貴老照片、老書桌、舊檯燈、 處方箋、詩句、手稿、咾咕石石雕及其他生活物品，等著您一起來尋找老文人的巧思與幽默，發現固中妙趣。戶外空間花木扶疏加上地景、流水及紅磚圍牆，整體散發著樸素又大方的美感，可供民眾休憩、乘涼。 
方圓也不定期地展出各類藝術作品及提供表演活動的平台，並開設各類生活美學研習及舉辦體驗活動，以期推廣全民藝術教育，歡迎您來表現一番。 ","四~日09:00~17:00
星期三僅接受十人以上團體預約參觀
星期一及星期二全天休館
 國定假日除(清明、除夕)以外 均有開館",395000000A,120.157492,23.199124,05,2012/09/26 12:00:00,臺南市將軍區西華里1號,886-6-7944351,,,,,星期三僅接受十人以上團體預約參觀。,
v_18,C1_395000000A_000018,鹽分地帶文化館-香雨書院,漚汪人薪傳文化基金會創辦人林金悔先生，為推動文化紮根，早有在家鄉興建「香雨書院」之夙願。並於民國76 年邀請北門區（鹽分地帶）藝術家返鄉寫生，且出版《北門區寫生作品集》。從此與北門區旅外鄉親密切往來，深切體會北門區人才輩出及對家鄉惦念之熱情，遂於1997年成立「財團法人西甲文化傳習基金會」，2003年5月改稱「財團法人漚汪人薪傳文化基金會」，持續推動北門區文化工作。經長期的努力，累積不少地方文物和工作經驗，激發更多理想，於是在原鄉興建教育文化傳承館舍，對於北門區人與林金悔先生而言，遂成勢在必行之重要美事。因而於2002年將長久構想的「香雨書院」擴大為「鹽分地帶文化館」，辦理鹽分地帶文物資料之蒐藏、整理、研究、展示與出版等重要任務，並配合終身學習需求，開辦各項研習班。館舍陳列該會典藏之地方文物包括北門區美術家作品、文學作家手稿信函著作、古地圖、拓碑、古文書、老照片等。,"六~日09:00~17:00
農曆春節假期每日
（如十人以上之團體事先電話預約參觀或使用場地，週一至週五仍可開放。）",395000000A,120.157063,23.192228,01,2012/09/26 12:00:00,臺南市將軍區長榮里182 號,886-6-3351975,,,,,,
v_19,C1_395000000A_000019,七股鹽山,七股鹽場經過日治時期與二戰後政府的開發經營，成為台灣史上最大規模的曬鹽場，而面對鹽業式微的現實，重新精心規劃本遊憩園區，以發展觀光事業。鹽場內共有2座鹽山：主峰與北峰，主峰的鹽是鹽場停產後所留下之鹽，海拔高度20公尺，約6萬公噸；質地堅硬，表層有落塵覆蓋，已成為七股觀光地標。北峰是西澳洲的鹽，是粉碎鹽工廠的原料鹽，像極雪白的極地山頭。不沉之海鹽分濃度高達17波渼，其浮力可媲美死海，還設有傳統的各式鹽田讓您來體驗；而「嘟嘟車」為您做遊園解說導覽，還有水踏船、採水車、沙灘車、go-kart等好玩的設施。 ,一~日09:00~18:00,395000000A,120.100265,23.154270,12,2012/09/26 12:00:00,臺南市七股區鹽埕里66號,886-6-7800511,大型停車場，停車費50元,,,,爬鹽山時請注意自身與小孩的安全,
v_20,C1_395000000A_000020,七股潟湖,面積約1600公頃，原是300多年前的台江內海遺跡，當地俗稱「內海仔」，搭乘膠筏遊潟湖是體驗七股潟湖的最好方式，沿途滿是吊蚵仔、定置魚網，悠哉的釣客，與豐富的潟湖生態，潟湖周邊的紅樹林，滿是白鷺鷥與招潮蟹；而孤立外海的浮洲「網仔寮汕」，木麻黃林、馬鞍藤草原非常美麗，您可在此享受無人小島的快樂探險，非常值得一遊。,一~日00:00~24:00,395000000A,120.078421,23.123592,12,2012/09/26 12:00:00,臺南市七股區三股村48號,886-6-7881662,設有大型停車場,,,,海邊風大日照強，請帶遮陽設備或防寒衣物.,內海仔
v_21,C1_395000000A_000021,龍山漁港,龍山漁港三面環繞了虱目魚、蛤、蝦等的養殖漁塭，早上6點半人聲鼎沸，一艘艘竹排仔載著剛捕撈的漁貨入港，開始魚貨拍賣，任何人都可以參加競標，購買新鮮的魚貨，亦可在此搭竹筏遊潟湖或參拜龍山宮。 ,一~日00:00~24:00,395000000A,120.113558,23.137642,12,2012/09/26 12:00:00,台南市七股區龍山里龍山宮前,886-6-7875105 ?,停車請停路邊,,,,遊湖時注意安全與防曬,
v_22,C1_395000000A_000022,黑面琵鷺保護區,曾文溪出海口的沖積地形成的沙洲與海埔新生地，擁有豐富的河口生態體系，豐富的底棲及浮游生物，因吸引了大量的候鳥停棲覓食，而國際級的珍稀保育鳥類黑面琵鷺，是本水域最為引人的候鳥，本區已由政府規劃為野生動物棲息地及黑面琵鷺保護區，來保護此處豐富的生態資源。因外型有著類似琵琶的嘴，連眼睛周圍都是黑色，而稱之黑面琵鷺（Black-face Spoonbill），每年9月底，黑面琵鷺會從北方陸續來到，渡過一個冬季，3月黑面琵鷺會再陸續飛離溪口返回北方，賞鳥亭有相關生態解說。 ,一~日00:00~24:00,395000000A,120.046191,23.075049,02,2012/09/26 12:00:00,臺南市七股區十份里海埔47號,886-6-7881180,設有大型停車場,,,,賞鳥時請輕聲細語，海邊風大請小心防寒,
v_23,C1_395000000A_000023,黑面琵鷺生態展示館,曾文溪口的七股濕地，目前為國際保育鳥黑面琵鷺聚集最多之處，吸引眾多國內外的研究人員與賞鳥人士，市府特在此規劃設置了黑面琵鷺保育管理中心，擔負起生態保育、教育及維護當地珍貴生態資源的責任，本區分為教育管理與保育研究2個中心，教育管理中心包括展示室（以黑面琵鷺為主題）、視聽會議室、咖啡廳及販賣區，提供旅客拜訪參觀，保育研究中心則是將做為國際性的黑面琵鷺研究單位，提供給國內外保育專家學者進行有關黑面琵鷺的研究使用。 ,"二~日09:00~16:30
(週一休館)",395000000A,120.062681,23.081370,02,2012/09/26 12:00:00,臺南市七股區十份里海埔47號,886-6-7881180,設有大型停車場,,,,每年10月至4、5月為賞鳥期，網路預約且需一週前預約,黑面琵鷺研究及保育管理中心
v_24,C1_395000000A_000024,台灣鹽博物館,位於臺南市七股區鹽埕里台灣鹽博物是目前台灣唯一有關鹽產業的主題博物館，其興建主要目的是保存台灣數百年的鹽業文化資產。「鹽」為鹽工汗水與淚水的結晶，鹽堆狀的外型造觀格外有特色，遠望感覺就像兩座白色金字塔矗立在鹽田裡。,"一~五09:00~17:00 
六~日09:00~17:30 (週末及國定假日)
每年暑假(7,8月)及春節期間延後30分鐘閉館，閉館前一小時停止售票入館
每月最末週星期一為休館日",395000000A,120.105650,23.155345,01,2012/09/26 12:00:00,臺南市七股區鹽埕里69號,886-6-7800990,,,,全票130元、優待票110元、團體票100元、幼稚園特優票30元、90公分以下兒童殘障人士免費,,
v_25,C1_395000000A_000025,溪南春休閒渡假漁村,"溪南春休閒渡假漁村以漁村特色結合生態旅遊，不僅規劃有海水健康步道、混水摸魚區、烤肉區、釣魚區、兒童遊戲區、海水健康步道、牛車巡禮區、 卡拉ok、交誼廳、民宿區及文物陳列參觀室等，另外這兒亦養殖有虱目魚、吳郭魚及蚵等漁業，讓遊客在休閒娛樂之餘也能對漁村生活有更多的體驗，其中最具特色的漁村生活體驗區─桶間寮，這原是早期漁民為了方便夜間照料魚塭時，所棲身而在水面上搭建的茅廬，如今經由園主的巧思，卻成為休閒渡假新體驗。 
來這兒另一特色是，鮮美海味佳餚，不論是傳統虱目魚大餐、鹹水吳郭魚、潟湖鮮蚵、清蒸石斑、西瓜湯、炸蚵捲等鄉土小吃絕對值得一嚐。 ",一~日08:30~20:00,395000000A,120.116701,23.126853,12,2012/09/26 12:00:00,臺南市七股區溪南里42號之1,886-6-7874365,,,,,,
v_26,C1_395000000A_000026,關子嶺溫泉風景區,關子嶺溫泉風景區位於白河區東側，四周有枕頭山、虎頭山、大凍山、雞籠山等群峰環抱，環山風景點以關子嶺鹼性溫泉為起點，沿途有紅葉公園、水火同源等休憩玩賞地點。該處溫泉不僅與陽明山、北投、四重溪、知本溫泉並列台灣五大溫泉，其泉水終年豐沛，屬鹼性碳酸泉，溫度約在攝氏七十五度間，可浴不可飲，洗後全身舒暢，皮膚紅潤光潔，對於皮膚過敏、消除疲勞、美容、胃腸慢性病及風濕關節炎均具有相當療效，是天然的泥漿溫泉。 ,一~日00:00~24:00,395000000A,120.504452,23.340512,08,2012/09/26 12:00:00,臺南市白河區關嶺里28-3號,886-6-6822293,,,,,,
v_27,C1_395000000A_000027,蓮花公園,蓮花公園佔地4公頃餘，1996年建造賞蓮亭，後依據現場作規劃，有停車場、蓮田、步道、休閒林區以及觀蓮亭等設施，是一個兼具休閒、健身、賞蓮等多功能的公園。觀蓮亭係由原木興建的2層建築，登亭遠眺蓮海，晨曦欣賞蓮葉露珠、蓮花怒放；雨天聽細雨打蓮葉，激起漣漪；夕陽彩霞照映蓮海，如詩如畫。每當6月至9月為賞蓮最佳時節，一片蓮海，徐徐涼風送來清香，坐臥於蓮花公園的任一角落，均有偷得浮生半日閒之難得愜意。,一~日00:00~24:00,395000000A,120.417377,23.387542,12,2012/09/26 12:00:00,臺南市白河區三民路381號,886-6-6855102,,,,,,
v_28,C1_395000000A_000028,蓮花產業資訊館,為台灣第一座以蓮花為主題規劃的社區博物館，該館呈現白河蓮鄉地方特色及產業文化生態，長期展示蒐集之相關文物、圖案，並舉辦各類學術研究活動，讓人對蓮花之生態及產業能有更深層的認識。 ,"二~日08:00~17:00
(週一休息)",395000000A,120.416486,23.380875,02,2012/09/26 12:00:00,臺南市白河區玉豐里22-10號,886-6-6852983,備有小型停車場,,,全票30元、半票20元、團體8折,,
v_29,C1_395000000A_000029,白荷陶坊,"遠離世俗塵囂的白荷陶坊，畫蓮、玩陶，彷彿置身桃花源，主人林文嶽，是在地陶藝及畫荷藝術家。 
在白荷陶坊，可以欣賞林文嶽信手拈來一幅蓮花水墨或姿意捏陶，體驗陶土與雙手間的契合度，繪釉、燒陶，慢慢完成屬於自己的創作。陶坊，無拘無束，任遊客隨意漫步欣賞，沏一壺茶，靜心品茗，體驗陶淵明「結廬在人境，而無車馬喧」的意境。 ",二~日08:00~18:00,395000000A,120.467035,23.385983,05,2012/09/26 12:00:00,臺南市白河區崎內里38號,886-6-6850339,設有中型停車場,,,,注意蚊蟲叮咬，著輕鬆服裝,
v_30,C1_395000000A_000030,白河水庫,遠眺萬頃碧波，近觀湖光山色，民國1965年興建的白河水庫，清幽、淡雅，從晨曦到黃昏，時時映現村姑的樸質之美。白河水庫位在白河區東側、枕頭山北麓，與關仔嶺風景區南北對峙，是白河、東山一帶農田灌溉的主要水源，並兼具防洪、工業用水、自來水供給及觀光等用途，結合關仔嶺一帶名勝，闢為白河水庫風景區。潭面170公頃，湖岸小丘地勢平坦，林木濃蔭，附近有花圃、停車場，極適合散步、納涼，岸邊常有白鷺鷥飛翔，林內也有許多鳥類棲息，尤其是辦公室前的大樹，鳥兒嘰嘰喳喳的，好不熱鬧，是賞鳥的好地點。 ,一~日08:00~18:00,395000000A,120.474058,23.354036,11,2012/09/26 12:00:00,臺南市白河區仙草里1-18號,886-6-6853860,設有小型停車場,,,門票機車20元、小客車50元,注意蚊蟲叮咬，鳥族多，記得帶望眼鏡來賞鳥，水域地區禁止游泳,
v_31,C1_395000000A_000031,關子嶺大仙寺,"大仙寺為清領時期福建高僧參徹禪師所創,位於關子嶺群山的尾端,俗稱舊岩,相傅是「仙人拋網」的靈穴,而相距不遠的碧雲寺則是「半壁吊燈火」的靈穴,又稱之為新岩,日治時期大正4年（1915年）建大雄寶殿,外貌仿照日本奈良大佛寺,屋頂為「日式屋瓦」樣式,為全台保存日式屋頂結構的2座寺廟之一，大雄寶殿通樑上的擂金畫是彩繪大師李漢卿作品，而大雄寶殿後的「大悲出相圖」則是名畫家潘麗水作品。 ",一~日00:00~24:00,395000000A,120.472802,23.340601,04,2012/09/26 12:00:00,臺南市白河區仙草里八鄰岩前路1號,886-6-6852143,大門外有大型停車場,,,,香油錢請隨意，佛教聖地，請勿喧囂,
v_32,C1_395000000A_000032,紅葉公園,紅葉公園位於白河區關子嶺枕頭山上，從長虹山莊旁的石階拾級而上，又稱關子嶺公園，因遍植紅葉植物－楓香樹和槭樹，在入秋後滿山通紅而得名，紅葉隧道之名也由此而來，是南台灣唯一以變葉植物為特色的植物園，漫步其間，十分賞心悅目。 ,一~日00:00~24:00,395000000A,120.505729,23.342246,11,2012/09/26 12:00:00,臺南市白河區關嶺里28-3號,886-6-6822293,設有小型停車場,,,,注意蚊蟲叮咬及防曬，欄杆處請小心，切勿攀附嬉戲,
v_33,C1_395000000A_000033,關子嶺水火同源,為泥火山的一種，為有氣有水的泥火山，分佈於台灣西南部地區的泥火山中其噴溢的材料，有泥、水、氣全含的為大部分的泥火山；其所蘊含的地質學意義也不可被忽略，至少地下有含水與氣的地層，至少有一破裂通路令其出來，地層含豐富的水和氣，有其一定的形成原因，破裂通路即所謂的斷層線，關子嶺水火同源的存在之意義不容忽略。,一~日00:00~24:00,395000000A,120.485280,23.322041,11,2012/09/26 12:00:00,臺南市白河區關嶺里28-3號,886-6-6822293,設有小型停車場,,,,注意蚊蟲叮咬,
v_34,C1_395000000A_000034,新好漢坡步道,好漢坡指的是位於舊關嶺國小下方的山坡階梯，是日本人為了復健、鍛鍊傷兵而建的，原有300階，後因馬路拓寬，只剩約243階。因階梯陡又多，爬起來很吃力，能登頂即是好漢，故稱好漢坡。好漢坡是觀覽關子嶺風光必行經步道，在市府規畫下，新好漢坡以溫泉口為起點，讓遊客感受溫泉鄉氣氛，新步道階梯數不亞於舊步道，但提供更安全、更舒適的森林漫步空間，供民眾遊賞嶺山風情。,一~日00:00~24:00,395000000A,120.504510,23.339562,12,2012/09/26 12:00:00,臺南市白河區關嶺里28-3號,886-6-6822293,設有小型停車場,,,,注意蚊蟲叮咬及防曬,
v_35,C1_395000000A_000035,鹿寮水庫,鹿寮水庫是台糖公司南靖廠的蓄水庫，位於鹿寮溪上游。水庫的名稱是因鹿寮溪而取的，本是台糖為灌溉其嘉南平原廣達數千公頃的蔗田所闢的。水庫內碧草如茵、景色清新秀麗。因注入水庫的溪流被阻斷淤積，形成綠色的水塘，浮萍、水蠟筆、布袋蓮密密麻麻，佈滿河面，大冠鷲、水鳥樓息其間，或許是人跡罕至，生態景觀特別完整，大概是台灣唯一保有原始風光的水庫，有「關子嶺腳下的亞馬遜河」之稱。目前有管理員駐守，團體得向南靖糖廠申請入園。在進入鹿寮水庫前，有一處鹿寮溪親水公園，建有涼亭和種植多種當地植物，同樣值得停駐觀賞。 ,目前並不對外開放,395000000A,120.477129,23.386825,02,2012/09/26 12:00:00,嘉義縣大林鎮大糖里399號,886-5-2659566,,,,,目前並不對外開放，參觀水庫須經水庫工作管理人員的允許方可進入；汽車禁止進入.,關子嶺腳下的亞馬遜河
