Combined Land--Ocean Temperature Anomaly (C) CR 1200km 1880 to 2012.,,,,,,,,,,,,,,,,,,
GLOBAL Temperature Anomalies in .01 C     base period: 1951-1980,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1958,42,24,15,5,7,-8,8,-2,-3,5,5,5,9,9,27,9,-1,2
1959,11,11,21,18,10,7,7,1,-8,-4,-8,4,6,6,9,16,5,-7
1960,1,19,-31,-13,-5,-3,-2,6,5,5,-9,20,-1,-2,8,-17,0,0
1961,4,21,10,12,21,12,0,3,8,6,6,-15,7,10,15,14,5,6
1962,6,18,12,11,-10,9,-3,-5,3,1,8,0,4,3,3,5,0,4
1963,1,20,-13,-8,-3,6,14,26,23,9,14,3,8,7,7,-8,15,15
1964,-4,-9,-26,-33,-28,-4,-5,-24,-37,-30,-20,-29,-21,-18,-3,-29,-11,-29
1965,-10,-18,-10,-19,-6,-11,-21,-6,-17,-7,-8,-6,-12,-14,-19,-12,-13,-11
1966,-17,-1,9,-11,-6,-2,11,-5,1,-15,0,-3,-3,-3,-8,-3,1,-5
1967,-7,-24,8,-3,12,-6,6,1,0,11,-1,-1,0,-1,-11,5,0,3
1968,-22,-14,26,-4,-10,-1,-8,-5,-14,13,-3,-12,-5,-4,-12,4,-5,-1
1969,-6,-9,-2,19,13,13,-3,0,8,14,16,30,8,4,-9,10,3,13
1970,10,23,9,4,-5,-2,-2,-13,12,4,3,-12,3,6,21,3,-6,6
1971,-2,-20,-22,-11,-11,-21,-12,-4,-2,-4,-8,-12,-11,-11,-12,-15,-12,-5
1972,-26,-21,-4,-2,-3,5,-1,20,4,4,-2,18,-1,-3,-19,-3,8,2
1973,24,28,25,24,23,16,9,0,7,12,4,-8,14,16,24,24,9,8
1974,-14,-27,-6,-13,-4,-5,-3,10,-9,-7,-11,-11,-8,-8,-16,-8,1,-9
1975,2,1,11,-3,18,-2,-3,-22,-6,-10,-16,-21,-4,-3,-3,9,-9,-11
1976,-8,-11,-27,-15,-29,-15,-12,-19,-10,-28,-11,1,-15,-17,-13,-24,-15,-17
1977,11,15,16,20,29,23,20,17,-4,-3,14,3,13,13,9,22,20,2
1978,5,9,14,10,4,-5,9,-18,9,-1,8,1,4,4,6,9,-5,5
1979,7,-17,10,11,-3,5,-6,10,20,19,20,40,10,7,-3,6,3,20
1980,22,30,24,27,29,10,22,18,14,10,23,10,20,22,31,26,17,16
1981,49,37,44,24,16,22,29,32,12,6,18,29,27,25,32,28,28,12
1982,1,9,-10,-1,12,1,12,-3,2,3,4,36,6,5,13,0,3,3
1983,47,36,37,28,31,16,11,29,36,10,22,11,26,28,40,32,19,23
1984,23,9,24,4,30,-1,12,11,17,4,-5,-14,10,12,14,20,7,5
1985,16,-12,11,4,6,13,-5,10,6,5,-1,9,5,3,-3,7,6,3
1986,22,37,25,19,17,6,6,7,-1,6,2,7,13,13,23,20,7,2
1987,27,39,12,18,17,33,41,19,31,28,23,45,28,24,24,16,31,27
1988,53,37,47,36,39,40,27,32,32,30,0,22,33,35,45,41,33,21
1989,6,30,29,19,7,8,30,26,32,27,9,30,21,20,19,18,21,23
1990,31,30,67,46,37,28,43,24,17,38,37,35,36,36,30,50,32,31
1991,34,45,29,44,31,49,48,38,40,20,19,25,35,36,38,35,45,26
1992,38,34,38,15,23,16,1,0,-12,-5,-8,10,13,14,32,26,6,-8
1993,28,29,28,16,17,9,13,2,-1,14,-1,13,14,14,22,20,8,4
1994,22,-7,20,30,16,34,22,15,31,35,38,28,24,22,10,22,24,35
1995,44,72,41,41,20,36,49,39,23,44,38,24,39,39,48,34,41,35
1996,24,48,31,26,20,18,35,47,24,15,34,33,30,29,32,26,33,25
1997,27,33,48,33,31,52,28,34,44,52,57,57,41,39,31,37,38,51
1998,55,83,59,56,66,72,65,64,42,40,45,51,58,59,65,60,67,42
1999,42,60,27,25,22,35,30,28,30,33,29,34,33,34,51,25,31,31
2000,18,53,51,53,31,38,36,39,35,20,29,24,35,36,35,45,38,28
2001,38,41,54,43,52,45,52,47,49,46,65,51,49,46,34,50,48,54
2002,70,70,88,56,56,47,56,46,52,50,50,37,57,58,64,67,50,51
2003,67,50,52,48,53,41,49,63,60,67,49,69,56,53,52,51,51,59
2004,53,67,58,52,35,34,19,42,48,60,66,47,49,50,63,48,32,58
2005,69,55,68,63,55,58,54,57,67,72,64,63,62,61,57,62,56,68
2006,48,63,58,45,40,54,42,63,54,60,64,72,55,54,58,48,53,59
2007,88,63,64,67,61,53,55,55,51,54,48,39,58,61,74,64,54,51
2008,15,25,65,43,41,34,53,35,53,56,58,48,44,43,26,49,41,55
2009,54,46,47,48,55,61,65,55,65,60,67,60,57,56,49,50,60,64
2010,68,74,85,76,65,56,49,53,53,63,71,43,63,65,68,75,53,63
2011,44,43,56,55,42,50,65,65,50,55,48,44,51,51,43,51,60,51
2012,34,38,46,55,61,*****,*****,*****,*****,*****,*****,*****,****,****,39,54,*****,*****
